Item Name,Quantity,Sourcing Link,Cost
ESP32-DevKit-m1,1,https://www.aliexpress.com/item/1005006902472832.html,$15.57 
DRV8833 Motor Driver,1,https://www.daraz.pk/products/tb6612-drv8833-dual-motor-driver-1a-tb6612fng-arduino-microcontroller-superior-to-l298n-i647715573.html,$1.89 
"6V N20 Gear Motor with encoder, wheel and mounting brackets",2,https://www.aliexpress.com/item/1005004110888400.html,$12.32 
5A Buck DC-DC Converter 7.4V to 6V,1,https://www.daraz.pk/products/1pcs-5a-dc-dc-cc-cv-lithium-battery-step-down-charging-board-led-power-converter-charger-step-down-module-original-xl4015-i424764004-s2011694944.html,$2.39 
7.4V to 5V 1A DC-DC Fixed Buck Convertor (for ESP32),1,https://www.daraz.pk/products/samirob-dd4012sa-dc-dc-1a-5-40v-3v-33v-37v-5v-6v-75v-9v-12v-i595850365-s2745968455.html,$1.89 
"470 µF, 16 V aluminium electrolytic capacitor",10 (min. order),https://www.daraz.pk/products/electrolytic-capacitor-63v-16v-25v-35v-50v-63v-200v-400v-450v-10uf-22uf-47uf-100uf-220uf-330uf-470uf-1000uf-01uf-022uf-new-i403418048-s1945872904.html,$0.65 
"220 µF, 10 V aluminium electrolytic capacitor",50 (min. order),https://www.daraz.pk/products/electrolytic-capacitor-63v-16v-25v-35v-50v-63v-200v-400v-450v-10uf-22uf-47uf-100uf-220uf-330uf-470uf-1000uf-01uf-022uf-new-i403418048-s1945872904.html,$0.48 
100 nF Ceramic Capacitor,5 (min. order),https://www.daraz.pk/products/104-100nf-i186186865-s1372304553.html,$0.64 
8 Channel IR Sensor Array,1,https://www.daraz.pk/products/diy-8-i920168930.html,$2.61 
Li-ion Battery 7.4V 2000mAH,1,https://www.daraz.pk//products/i553682147-s2575277902.html,$3.68 
2S BMS for Battery,1,https://www.daraz.pk//products/i174098710-s1346004291.html,$1.73 
PCB,1,No Link:(,
,,,
,,,
