Item Name,Quantity,Sourcing Link,Cost
ESP32-DevKit-S3-WROOM1,1,https://epro.pk/product/pre-soldered-esp32-s3-wroom-1-development-board-2-4g-wifi-bt-module/,$6.40 
DRV8833 Motor Driver,1,https://epro.pk/product/tb6612-drv8833-dual-motor-driver-module-1a-h-bridge-for-arduino-robotics/,$2.00 
"6V N20 Gear Motor with encoder, wheel and mounting brackets",2,https://www.aliexpress.com/item/1005004110888400.html,$18.49 
5A Buck DC-DC Converter 7.4V to 6V,1,https://www.aliexpress.com/item/4000496873234.html,$3.00 
7.4V to 5V 1A DC-DC Fixed Buck Convertor (for ESP32),1,https://www.daraz.pk/products/samirob-dd4012sa-dc-dc-1a-5-40v-3v-33v-37v-5v-6v-75v-9v-12v-i595850365-s2745968455.html,$1.88 
"470 µF, 16 V aluminium electrolytic capacitor",1,https://epro.pk/product/470uf-16v-aluminum-electrolytic-capacitor/,$0.06 
"220 µF, 10 V aluminium electrolytic capacitor",1,We'll buy it ourself,$0.00 
100 nF Ceramic Capacitor,1,https://epro.pk/product/0-1uf-100nf-100000pf-104-ceramic-capacitor-in-pakistan/,$0.02 
8 Channel IR Sensor Array,1,https://epro.pk/product/qtr-8rc-line-following-reflectance-ir-sensor-8-channel-line-following-line-tracking-array-module/,$2.29 
LiPo Battery 7.4V 1500mAH,1,https://epro.pk/product/zop-power-7-4v-1500mah-li-po-rechargeable-battery-pack/,$10.00 
PCB,1,No Link:(,$33.00 
TAXES:(,,No Link:(,$15.00 
Total Cost,,$92.20 ,
